epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7858780026435852,0.0010000000474974513,0.6515488028526306,0.9579029083251953,0.13926605880260468
1,0.9040171504020691,0.0010000000474974513,0.3051604628562927,0.9731404781341553,0.09001851826906204
2,0.9265246987342834,0.0010000000474974513,0.2337924689054489,0.9774276614189148,0.07242637127637863
3,0.9378107786178589,0.0010000000474974513,0.1988990604877472,0.98037189245224,0.06728135794401169
4,0.9454827904701233,0.0010000000474974513,0.17449341714382172,0.9781508445739746,0.07289061695337296
5,0.9502615928649902,0.0010000000474974513,0.16078642010688782,0.9836260080337524,0.052529580891132355
6,0.9528497457504272,0.0010000000474974513,0.15313231945037842,0.9836776852607727,0.052698567509651184
7,0.9558353424072266,0.0010000000474974513,0.14420326054096222,0.9853305816650391,0.05000702664256096
8,0.9568613171577454,0.0010000000474974513,0.13620340824127197,0.9862603545188904,0.04549235850572586
9,0.9592738151550293,0.0010000000474974513,0.13093674182891846,0.9866735339164734,0.04377223551273346
10,0.9601704478263855,0.0010000000474974513,0.12802265584468842,0.9866735339164734,0.046040043234825134
11,0.9622132182121277,0.0010000000474974513,0.12011504918336868,0.987654983997345,0.04181981086730957
12,0.9626846313476562,0.0010000000474974513,0.11906948685646057,0.987500011920929,0.0426289401948452
13,0.9644593596458435,0.0010000000474974513,0.11500241607427597,0.9867252111434937,0.043644968420267105
14,0.9668718576431274,0.0005000000237487257,0.1072772741317749,0.987654983997345,0.04172143712639809
15,0.9674911499023438,0.0005000000237487257,0.1064644604921341,0.9884297251701355,0.041532035917043686
16,0.9671953916549683,0.0005000000237487257,0.10580762475728989,0.9867252111434937,0.0465143620967865
17,0.9681566953659058,0.0005000000237487257,0.10259610414505005,0.9868801832199097,0.04426774010062218
18,0.9690532684326172,0.0002500000118743628,0.09996114671230316,0.9876033067703247,0.04399256035685539
19,0.9703658223152161,0.0002500000118743628,0.09650039672851562,0.9884297251701355,0.03939938545227051
20,0.9700608253479004,0.0002500000118743628,0.09777597337961197,0.9879648685455322,0.040581826120615005
21,0.9705969095230103,0.0002500000118743628,0.0943000540137291,0.9886879920959473,0.0398019403219223
22,0.9715397357940674,0.0001250000059371814,0.09297380596399307,0.9881198406219482,0.04035447910428047
23,0.9711238145828247,0.0001250000059371814,0.09409986436367035,0.9883264303207397,0.04029802232980728
