Blank,1,2,3,4,5,6,7,8,9
3134,0,0,0,0,0,0,0,0,0
0,3240,23,2,1,0,5,3,1,9
0,0,3103,24,3,1,4,5,2,1
0,0,53,3067,15,8,0,1,0,0
0,2,12,10,3066,3,12,4,1,7
0,0,3,6,2,3003,5,0,0,1
0,3,13,4,3,10,3042,6,1,6
0,4,15,4,2,3,3,3128,1,0
0,2,4,1,1,14,8,2,3085,4
0,1,13,0,14,13,30,6,4,3053
